"","1A _DLD1_P_Gree_03.#m4_","1B_DLD1_P_Gree_04.#m4_","1C_DLD1_P_Gree_05.#m4_","1D_DLD1_P_Gree_06.#m4_","2A_DLD1_P_Gree_07.#m4_","2B_DLD1_P_Gree_08.#m4_","2C_DLD1_P_Gree_09.#m4_","2D_DLD1 _P_Gree_10.#m4_","3A_DLD1 _P_Gree_11.#m4_","3B_DLD1 _P_Gree_12.#m4_","3C_DLD1 _P_Gree_13.#m4_","3D DLD-1_P_Gree_03.#m4_","4A DLD-1_P_Gree_04.#m4_","4B DLD-1_P_Gree_05.#m4_","4C DLD-1_P_Gree_07.#m4_","4D DLD-1_P_Gree_08.#m4_"
"Bin Diameter (Center)","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff."
"um","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
13.15,27,46,32,22,7,7,4,6,6,1,3,5,6,0,2,2
13.22,30,42,25,29,14,6,6,9,4,4,4,2,5,3,2,0
13.30,26,44,46,27,13,8,6,14,8,3,2,4,2,1,3,2
13.38,31,54,41,37,8,8,4,12,3,2,6,7,4,2,2,4
13.46,22,68,36,32,14,7,9,7,6,6,5,5,7,2,0,3
13.53,30,41,38,45,17,11,11,11,2,6,3,4,5,2,3,0
13.61,32,56,41,23,13,7,5,9,6,4,5,4,5,2,3,2
13.69,28,61,38,26,16,15,8,9,5,3,4,9,5,3,4,0
13.77,26,56,33,20,11,8,9,8,5,6,3,4,6,0,0,3
13.84,36,60,34,27,21,16,13,12,8,6,5,6,2,3,2,0
13.92,21,53,39,43,16,17,7,12,4,5,3,7,3,2,3,1
14.00,36,60,34,44,13,17,7,13,5,4,2,4,3,3,3,2
14.08,38,66,37,39,16,15,14,9,8,3,2,11,1,2,6,4
14.15,31,70,40,54,19,18,17,17,3,3,7,6,2,0,3,4
14.23,32,50,34,54,19,15,6,14,6,3,3,9,2,5,5,2
14.31,35,73,44,34,17,29,11,14,3,6,3,8,3,2,4,3
14.39,30,65,55,52,24,27,21,14,10,10,3,5,3,0,0,2
14.46,37,67,45,41,24,33,16,14,8,9,2,6,3,1,2,0
14.54,44,69,55,45,33,26,10,16,7,11,6,7,5,3,1,3
14.62,41,67,55,39,19,30,14,18,15,4,16,14,8,2,5,2
14.70,34,61,58,44,21,34,10,17,6,3,5,17,4,3,3,3
14.77,45,58,49,58,27,19,20,18,11,11,15,13,6,1,4,6
14.85,31,70,55,34,27,26,25,13,13,10,5,13,3,4,0,0
14.93,44,63,55,46,30,23,17,18,14,6,10,16,1,2,1,1
15.01,35,65,64,36,29,34,21,18,8,5,7,14,3,0,0,0
15.08,43,80,72,45,44,19,19,21,15,12,11,10,3,4,3,4
15.16,34,66,54,48,32,29,21,18,16,20,8,17,6,5,4,3
15.24,35,55,59,24,29,40,28,18,16,20,9,16,4,5,1,1
15.32,27,75,45,43,31,35,22,15,19,15,11,10,2,6,2,5
15.39,34,56,65,32,34,35,20,32,14,14,15,7,1,6,5,1
15.47,35,62,54,51,35,37,30,28,12,19,13,11,2,5,7,3
15.55,40,73,61,49,26,30,24,30,20,19,9,21,5,6,2,3
15.63,46,66,40,54,48,36,14,18,15,11,10,13,3,3,2,0
15.70,53,64,50,33,50,32,27,23,24,16,17,19,1,2,1,1
15.78,43,73,59,48,42,35,26,24,16,15,14,15,5,3,2,1
15.86,29,61,40,37,52,32,45,19,12,22,18,25,4,2,0,0
15.94,50,68,44,39,43,38,22,40,27,20,12,25,2,7,2,1
16.01,34,66,40,45,45,53,35,36,17,25,11,27,6,4,1,3
16.09,41,64,43,29,43,46,18,38,15,22,12,26,6,8,1,6
16.17,37,72,57,44,38,34,31,22,19,22,20,21,4,5,2,0
16.25,44,60,53,45,54,38,31,32,22,25,10,28,4,5,4,2
16.32,38,54,50,41,55,45,32,33,25,15,24,20,4,5,3,4
16.40,30,53,60,43,58,47,34,33,17,21,14,29,4,3,4,6
16.48,29,69,49,34,67,34,35,46,24,25,17,17,5,5,2,5
16.56,42,76,54,43,60,51,37,34,23,23,15,19,3,5,4,4
16.63,36,63,60,26,54,49,39,34,23,27,22,24,8,2,3,6
16.71,38,61,53,39,60,53,36,37,30,27,22,23,6,4,5,9
16.79,36,54,34,45,68,43,29,39,24,32,14,24,2,2,4,2
16.87,36,52,43,42,54,57,37,36,33,20,20,33,5,4,2,3
16.94,37,61,51,31,54,45,38,46,26,29,29,23,7,4,1,2
17.02,36,61,40,43,53,61,32,37,32,28,23,29,7,6,3,5
17.10,33,63,52,35,53,61,32,41,31,27,28,34,6,4,2,6
17.18,26,53,47,36,56,61,28,47,37,24,22,44,9,7,5,4
17.25,33,59,44,32,56,53,36,42,31,25,17,30,2,4,2,6
17.33,26,49,41,38,73,56,36,44,35,34,23,28,4,4,2,6
17.41,35,50,42,47,45,63,36,35,28,29,29,35,9,6,3,2
17.49,22,49,29,28,55,50,43,45,39,41,23,48,6,7,3,7
17.56,29,54,41,44,56,59,44,34,42,40,19,39,7,4,8,9
17.64,27,64,40,36,57,45,36,36,34,38,22,31,5,5,4,1
17.72,26,39,41,33,50,46,42,45,33,27,25,36,5,5,7,10
17.80,35,44,48,46,75,44,37,57,30,25,26,48,6,14,6,6
17.87,27,39,35,44,59,49,45,33,36,35,26,38,7,3,5,5
17.95,35,44,37,45,42,52,49,52,38,46,23,36,6,6,5,3
18.03,27,51,47,34,42,54,44,41,30,31,21,28,2,6,1,6
18.11,29,38,44,34,61,47,31,45,37,40,22,33,5,5,6,2
18.18,26,40,38,29,54,51,43,45,45,37,19,33,4,6,6,9
18.26,21,53,49,25,48,49,38,47,35,31,35,50,10,7,2,8
