"","1A _DLD1_P_Gree_03.#m4_","1B_DLD1_P_Gree_04.#m4_","1C_DLD1_P_Gree_05.#m4_","1D_DLD1_P_Gree_06.#m4_","2A_DLD1_P_Gree_07.#m4_","2B_DLD1_P_Gree_08.#m4_","2C_DLD1_P_Gree_09.#m4_","2D_DLD1 _P_Gree_10.#m4_","3A_DLD1 _P_Gree_11.#m4_","3B_DLD1 _P_Gree_12.#m4_","3C_DLD1 _P_Gree_13.#m4_","3D DLD-1_P_Gree_03.#m4_","4A DLD-1_P_Gree_04.#m4_","4B DLD-1_P_Gree_05.#m4_","4C DLD-1_P_Gree_07.#m4_","4D DLD-1_P_Gree_08.#m4_"
"Bin Diameter (Center)","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff."
"um","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
30.12,0,0,0,1,0,1,1,1,2,0,1,3,2,1,1,1
30.20,0,1,1,0,0,0,1,2,4,2,0,0,0,0,0,1
30.27,1,0,1,0,0,3,1,0,0,0,2,5,1,1,0,0
30.35,2,0,3,0,1,1,0,1,1,2,1,2,1,3,0,2
30.43,1,0,1,0,1,2,0,0,0,2,1,1,0,0,1,0
30.51,1,0,0,1,1,1,0,1,1,1,2,0,1,0,0,0
30.58,0,0,0,1,0,2,0,1,1,2,2,1,0,1,0,0
30.66,0,0,1,0,0,2,1,1,1,2,2,1,1,0,0,0
30.74,0,0,1,0,1,2,1,0,1,0,1,1,2,2,1,0
30.82,2,0,4,1,0,0,1,4,1,0,1,2,0,0,0,0
30.89,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,2
30.97,0,0,2,2,0,0,0,1,2,2,1,1,1,0,0,0
31.05,0,1,1,1,0,1,1,0,2,1,2,3,1,0,0,0
31.13,0,1,0,0,1,4,0,0,2,1,0,2,2,1,1,0
31.20,1,0,0,0,0,1,0,2,2,1,0,0,1,0,0,0
31.28,1,0,1,1,1,1,1,2,0,0,1,1,1,1,0,1
31.36,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
31.44,0,1,0,0,0,3,1,0,1,0,1,2,1,1,0,0
31.51,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0
31.59,1,0,1,1,0,1,0,0,3,0,2,2,0,1,0,0
31.67,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0
31.75,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
31.82,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
31.90,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0
31.98,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0
32.06,1,2,0,0,2,0,1,0,0,1,0,0,1,2,0,0
32.13,2,0,2,0,1,1,0,1,0,1,1,1,0,0,0,0
32.21,1,0,0,1,0,0,3,0,3,0,0,1,0,0,1,0
32.29,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
32.37,1,0,0,0,0,3,1,1,0,1,0,2,0,1,0,0
32.44,0,1,0,0,0,0,1,1,0,0,1,2,0,0,0,0
32.52,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
32.60,0,0,0,0,0,0,1,2,1,1,0,2,0,0,0,0
32.68,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
32.75,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0
32.83,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
32.91,0,0,1,0,0,0,1,0,2,0,0,1,1,0,0,0
32.99,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
33.06,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
33.14,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
33.22,1,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0
33.30,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0
33.37,0,2,1,0,0,0,1,1,0,0,1,1,0,1,0,0
33.45,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
33.53,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1
33.61,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33.68,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
33.76,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
33.84,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
33.92,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0
33.99,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
34.07,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1
34.15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
34.23,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
34.30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34.38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34.46,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
34.54,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
34.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.77,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0
34.85,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
34.92,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
35.00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35.08,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
35.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.31,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0
35.39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35.47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35.62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.78,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35.85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
35.93,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
36.01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36.09,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36.16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36.24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36.32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36.40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.55,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36.63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.94,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
37.02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37.09,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
37.17,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
37.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37.56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.79,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
37.87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.18,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
38.26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.50,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
39.57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.96,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0

