 ,Area,Mean,Min,Max
1,1788.751,76.574,31,255
2,1762.401,75.877,34,255
3,466.190,91.227,29,221
4,434.097,66.386,32,113
5,664.152,75.869,29,251
6,850.628,74.616,29,255
7,1092.056,54.259,20,168
8,1502.280,74.527,28,255
9,1758.347,77.545,29,255
10,1618.828,77.214,28,255
11,899.612,101.028,41,255
12,1975.564,99.077,27,255
