 ,Area,Mean,Min,Max
1,959.405,37.590,16,67
2,1059.062,42.677,18,73
3,1716.795,44.374,14,95
4,1466.246,40.396,17,62
5,1968.470,46.335,15,255
6,975.959,38.021,15,65
