 ,Area,Mean,Min,Max
1,1152.638,180.898,53,255
2,2094.814,73.569,30,251
3,827.318,53.878,18,179
4,1201.284,43.963,18,150
5,632.735,56.929,21,228
6,1440.685,46.528,16,217
7,956.027,57.133,20,242
8,603.344,50.094,15,126
9,894.206,78.526,23,255
10,626.654,43.919,16,94
11,1302.629,108.276,37,239
12,853.330,52.049,17,144
13,990.485,110.355,34,255
14,1062.778,77.574,24,192
15,714.149,135.890,44,255
16,759.079,63.340,22,155
17,930.353,61.424,21,227
18,1019.875,65.054,20,238
19,812.454,78.580,23,232
