 ,Area,Mean,Min,Max
1,1753.955,56.988,18,122
2,1708.688,77.107,29,255
3,1485.052,53.227,19,211
4,513.485,49.828,19,132
5,549.293,53.220,15,251
6,2007.657,91.926,24,255
7,1227.296,59.924,17,143
8,1482.687,59.424,20,141
9,2146.501,73.564,20,220
10,896.571,78.861,22,253
11,959.405,65.351,21,255
12,1123.248,90.719,34,255
13,936.096,91.635,28,255
