 ,Area,Mean,Min,Max
1,1794.176,47.126,21,124
2,1076.303,40.581,18,84
3,811.112,38.136,24,92
4,1013.806,42.406,21,96
5,2300.234,45.827,22,170
6,1511.869,49.542,29,109
7,1064.930,46.409,23,109
8,1301.968,41.516,16,107
9,1209.067,52.169,26,103
10,572.722,54.079,30,112
11,1715.801,47.606,22,95
12,748.052,49.283,27,107
