 ,Area,Mean,Min,Max
1,6571.326,71.319,30,150
2,4076.506,75.291,38,154
3,4977.816,69.838,30,118
4,2206.657,65.674,37,118
5,3152.899,72.985,32,226
6,1876.942,64.678,32,105
7,3543.084,60.897,28,188
8,1918.832,74.548,30,195
9,2069.164,63.939,29,136
10,2440.431,65.281,34,166
11,2110.378,67.842,31,199
