 ,Area,Mean,Min,Max
1,2367.348,75.361,23,218
2,1540.809,65.669,22,134
3,3662.335,78.365,19,170
4,3662.335,80.143,19,235
5,3884.622,83.282,27,184
6,2199.563,75.512,26,180
7,500.991,68.810,24,133
8,650.646,91.247,31,255
9,2292.464,74.576,24,180
10,3070.808,76.728,25,145
