 ,Area,Mean,Min,Max
1,1457.367,48.989,20,97
2,966.511,49.494,27,101
3,1167.853,51.488,25,134
4,1677.627,44.281,19,114
5,1495.203,51.628,23,103
6,724.292,56.513,27,146
7,1897.887,39.043,17,77
8,1817.486,37.043,20,65
9,2075.920,43.632,17,95
10,1829.985,42.613,16,101
11,2473.537,46.088,19,90
12,1836.404,45.668,21,101
