 ,Area,Mean,Min,Max
1,3473.830,53.720,16,174
2,2099.230,58.853,14,248
3,2164.092,57.927,15,166
4,2577.924,58.860,13,148
5,1856.673,57.730,21,128
6,1970.182,49.451,17,115
7,1875.591,52.752,13,82
8,4094.072,63.706,22,124
9,1207.040,70.521,35,105
10,1631.683,67.279,31,116
