 ,Area,Mean,Min,Max
1,1449.935,37.143,18,96
2,1629.318,36.812,19,76
3,1088.464,54.462,26,114
4,864.826,59.272,35,123
5,2090.784,50.815,23,123
6,1499.820,58.638,29,139
7,1771.204,50.272,20,118
8,3169.227,44.507,17,122
9,1751.272,48.866,26,114
10,816.855,43.141,25,78
11,580.717,82.151,50,142
