well,mean
A1,1847.2653396639887
A2,1490.5953250547848
A3,1464.915084002922
A4,1951.6983199415633
A5,1484.3179327976627
A6,2621.4390065741422
B1,1347.9273192111032
B2,1579.620160701242
B3,1767.6565924032143
B4,1550.6585555149745
B5,1587.0388970051135
B6,3200.785244704164
C1,2370.799853907962
C2,1694.8959094229367
C3,1783.2359386413443
C4,1879.7936449963481
C5,1906.501095690285
C6,2469.411979547115
D1,1723.657779401023
D2,1851.0317750182617
D3,1549.0321402483567
D4,2833.0441928414903
D5,2052.364864864865
D6,1842.8140978816657
