condition,image,nucleus_area
control,1,386.255
control,1,496.671
control,1,567.988
control,1,556.732
control,1,230.955
control,1,252.195
control,1,216.598
control,2,237.82
control,2,209.977
control,2,226.233
control,2,208.043
control,2,208.461
control,2,320.288
control,2,179.572
control,2,164.709
control,2,225.536
NaBu,3,206.108
NaBu,3,257.126
NaBu,3,319.852
NaBu,3,290.58
NaBu,3,331.404
NaBu,3,309.956
NaBu,4,342.765
NaBu_Resv,5,430.46
NaBu_Resv,5,66.194
NaBu_Resv,6,206.666
NaBu_Resv,6,418.89
